,county,state,totalpop,income,professional,service,office,drive,carpool,transit,workathome,meancommute,unemployment,party,perc_men,perc_white,perc_private_work,perc_citizen,perc_employed
1782,Houston,TX,22949.0,32698.0,0.245,0.221,0.245,0.813,0.111,0.0,0.05,0.255,0.064,R,0.5327900997864831,0.6303462321792261,0.6779999999999999,0.7829970804828097,0.33526515316571526
1783,Whitman,WA,46737.0,36631.0,0.46799999999999997,0.19699999999999998,0.18899999999999997,0.57,0.127,0.051,0.057999999999999996,0.152,0.08800000000000001,D,0.5091041359094508,0.8373305526590197,0.561,0.7869354044975073,0.4635513618760297
1784,Westmoreland,VA,17557.0,47911.0,0.294,0.2,0.26,0.74,0.113,0.004,0.073,0.425,0.09699999999999999,R,0.4888078828957111,0.6466395112016293,0.6496496496496497,0.7836760266560346,0.42279432704904024
1785,Worth,GA,21156.0,37974.0,0.245,0.17300000000000001,0.235,0.8690000000000001,0.08800000000000001,0.001,0.032,0.27699999999999997,0.098,R,0.4825108716203441,0.677710843373494,0.758,0.7565229722064662,0.3951124976366043
1786,Wayne,IL,16555.0,44993.0,0.266,0.151,0.214,0.828,0.086,0.01,0.05,0.225,0.053,R,0.49537903956508605,0.9787449392712552,0.772,0.7698580489278164,0.45442464512231956
1787,Nelson,VA,14858.0,47118.0,0.331,0.221,0.212,0.762,0.10300000000000001,0.005,0.08199999999999999,0.33,0.057,R,0.48526046574236104,0.8252525252525251,0.6910000000000001,0.7818010499394266,0.45053170009422533
1788,Chattooga,GA,25241.0,32913.0,0.23800000000000002,0.17,0.17300000000000001,0.867,0.08800000000000001,0.005,0.018000000000000002,0.243,0.1,R,0.5153123885741452,0.8385786802030457,0.813,0.7521492809318173,0.3556119012717404
1789,McDonald,MO,22763.0,38368.0,0.212,0.14800000000000002,0.252,0.784,0.145,0.002,0.042,0.278,0.087,R,0.5080613275930238,0.8166838311019566,0.83,0.6791284101392611,0.4192768967183587
1790,Adair,KY,18852.0,33362.0,0.276,0.151,0.24100000000000002,0.843,0.08900000000000001,0.005,0.028999999999999998,0.22699999999999998,0.077,R,0.4937407171652875,0.9503042596348885,0.7407407407407408,0.7827286229577763,0.4084447273498833
1791,Idaho,ID,16312.0,38191.0,0.256,0.187,0.226,0.6859999999999999,0.11199999999999999,0.001,0.09300000000000001,0.175,0.064,R,0.5254413928396273,0.9443872296601442,0.6469999999999999,0.790767533104463,0.4000735654732712
1792,Polk,AR,20364.0,33702.0,0.28600000000000003,0.14300000000000002,0.247,0.764,0.16899999999999998,0.003,0.042,0.21899999999999997,0.09,R,0.4875761147122373,0.9172699069286453,0.723,0.7436161854252603,0.3669711255156158
1793,Fayette,AL,16896.0,34680.0,0.27,0.146,0.21600000000000003,0.865,0.111,0.0,0.019,0.284,0.1,R,0.5017163825757576,0.866869918699187,0.8190000000000001,0.7805397727272727,0.3623342803030303
1794,Giles,VA,16907.0,46390.0,0.248,0.17800000000000002,0.19699999999999998,0.779,0.136,0.001,0.049,0.253,0.048,R,0.49015200804400544,0.957831325301205,0.7432567432567434,0.7878985035783995,0.4441947122493642
1795,Overton,TN,22100.0,35287.0,0.285,0.163,0.201,0.8759999999999999,0.085,0.003,0.025,0.272,0.077,R,0.49221719457013574,0.9737373737373738,0.7440000000000001,0.7679185520361991,0.3836651583710407
1796,Orange,IN,19725.0,39812.0,0.248,0.213,0.19899999999999998,0.8140000000000001,0.096,0.002,0.044000000000000004,0.259,0.068,R,0.4959695817490494,0.9686552072800809,0.847,0.7534600760456274,0.4223067173637516
1797,Buena Vista,IA,20507.0,48195.0,0.258,0.16899999999999998,0.188,0.7070000000000001,0.17300000000000001,0.001,0.055,0.139,0.037000000000000005,R,0.5128005071439021,0.6428571428571428,0.8160000000000001,0.6461208367874385,0.5229921490222851
1798,Cassia,ID,23369.0,45695.0,0.245,0.132,0.24100000000000002,0.785,0.125,0.002,0.042,0.154,0.057,R,0.5077666994736617,0.7241379310344828,0.7979999999999999,0.5903547434635629,0.41811801959861356
1799,Northumberland,VA,12304.0,51885.0,0.353,0.196,0.26,0.81,0.083,0.006999999999999999,0.081,0.267,0.087,R,0.48252600780234073,0.7024048096192386,0.722,0.8324122236671001,0.4080786736020806
1800,Russell,KY,17669.0,30720.0,0.28600000000000003,0.168,0.203,0.852,0.079,0.003,0.027999999999999997,0.20600000000000002,0.11800000000000001,R,0.4892184051163054,0.9505549949545914,0.7547547547547547,0.7621257569754938,0.3403701397928576
1801,Hughes,SD,17466.0,59177.0,0.45,0.135,0.24100000000000002,0.82,0.115,0.004,0.019,0.106,0.031,R,0.48625901751975265,0.8538860103626944,0.6309999999999999,0.7538073972289019,0.5507843810832475
1802,Jefferson,KS,18898.0,57236.0,0.32,0.163,0.225,0.848,0.099,0.004,0.024,0.29100000000000004,0.069,R,0.5085194200444492,0.9631901840490796,0.7147147147147147,0.7585987935231241,0.49021060429675095
1803,Lampasas,TX,20219.0,49630.0,0.308,0.213,0.201,0.7390000000000001,0.171,0.001,0.028999999999999998,0.281,0.086,R,0.4900341263168307,0.7551440329218108,0.655,0.7241703348335724,0.4077847569118156
1804,Klickitat,WA,20820.0,48319.0,0.35600000000000004,0.16,0.21100000000000002,0.75,0.09300000000000001,0.0,0.1,0.228,0.07,R,0.493611911623439,0.8363821138211381,0.7097097097097097,0.7611431316042268,0.37300672430355425
1805,Clarke,VA,14299.0,71295.0,0.436,0.16699999999999998,0.198,0.8190000000000001,0.081,0.002,0.055999999999999994,0.34299999999999997,0.06,R,0.49171270718232046,0.88911495422177,0.7197197197197197,0.7634100286733339,0.4831107070424505
1806,Hutchinson,TX,21858.0,49353.0,0.235,0.185,0.222,0.843,0.10800000000000001,0.002,0.027999999999999997,0.19699999999999998,0.053,R,0.5018757434348979,0.7319062181447503,0.802,0.6993320523378168,0.42762375331686336
1807,Kanabec,MN,16003.0,47384.0,0.27399999999999997,0.193,0.213,0.7879999999999999,0.11699999999999999,0.002,0.051,0.32299999999999995,0.098,R,0.507467349871899,0.9665314401622719,0.786,0.7716053240017496,0.45535212147722304
1808,Lee,SC,18461.0,30954.0,0.21600000000000003,0.21600000000000003,0.258,0.805,0.14800000000000002,0.0,0.015,0.278,0.149,D,0.5222360652185689,0.33401430030643514,0.766,0.7786685444992145,0.33291804344293374
1809,Marion,KY,19717.0,38826.0,0.253,0.185,0.17800000000000002,0.805,0.107,0.006999999999999999,0.038,0.215,0.092,R,0.5068722422275194,0.8799192734611503,0.764,0.7468174671603185,0.39651062534868386
1810,Allen,KY,20355.0,41326.0,0.252,0.14300000000000002,0.213,0.7759999999999999,0.121,0.0,0.05,0.251,0.092,R,0.4919675755342668,0.9627391742195367,0.7619999999999999,0.7513633014001474,0.4213215426185212
1811,Douglas,IL,19826.0,51810.0,0.263,0.154,0.251,0.753,0.10300000000000001,0.001,0.053,0.21100000000000002,0.061,R,0.49041662463431857,0.9173387096774194,0.7639999999999999,0.7234944012912338,0.47488146877837184
1812,Wright,MO,18449.0,29778.0,0.248,0.21899999999999997,0.183,0.737,0.146,0.0,0.05,0.26899999999999996,0.094,R,0.4925470215187815,0.9675456389452333,0.7290000000000001,0.747899615155293,0.3568215079408098
1813,Ashley,AR,21229.0,34263.0,0.28,0.175,0.187,0.863,0.063,0.004,0.027000000000000003,0.185,0.11800000000000001,R,0.4797682415563616,0.6830985915492959,0.7667667667667668,0.7485986151019831,0.36930613783032645
1814,Avery,NC,17695.0,37777.0,0.265,0.242,0.24,0.797,0.11800000000000001,0.005,0.05,0.22899999999999998,0.069,R,0.5466515964961853,0.8990731204943357,0.753,0.8077988132240747,0.3884148064424979
1815,Uinta,WY,20930.0,56569.0,0.301,0.183,0.191,0.7709999999999999,0.127,0.027999999999999997,0.03,0.204,0.044000000000000004,R,0.5081700907787864,0.9014373716632442,0.754,0.6859531772575251,0.4808408982322026
1816,Seminole,OK,25481.0,36068.0,0.272,0.18600000000000003,0.228,0.836,0.09300000000000001,0.001,0.037000000000000005,0.228,0.084,R,0.48859934853420195,0.6977730646871686,0.7260000000000001,0.7370589851261724,0.36807817589576547
1817,Perry,IN,19414.0,47470.0,0.198,0.207,0.18,0.855,0.113,0.002,0.016,0.225,0.055999999999999994,R,0.5360564541052848,0.9535353535353536,0.824,0.7868033377974657,0.43262594004326776
1818,Bates,MO,16643.0,41060.0,0.28,0.19899999999999998,0.209,0.753,0.126,0.008,0.063,0.306,0.066,R,0.4920386949468245,0.9663951120162935,0.722,0.7519077089467043,0.4317731178273148
1819,Henry,AL,17252.0,41997.0,0.335,0.171,0.185,0.856,0.086,0.001,0.022000000000000002,0.26899999999999996,0.081,R,0.47872710410387204,0.6885080645161291,0.7889999999999999,0.7742290748898678,0.40122884303269185
1820,Cibola,NM,27382.0,34565.0,0.284,0.278,0.218,0.7190000000000001,0.175,0.004,0.063,0.213,0.153,D,0.5046015630706303,0.21218274111675128,0.65,0.7222993207216419,0.3515082901175955
1821,Greene,NC,21328.0,35777.0,0.247,0.192,0.204,0.812,0.131,0.004,0.015,0.245,0.11900000000000001,R,0.5391504126031508,0.482233502538071,0.7620000000000001,0.7187734433608403,0.3783758439609902
1822,Hale,AL,15256.0,32714.0,0.255,0.16699999999999998,0.244,0.882,0.08800000000000001,0.0,0.012,0.298,0.133,D,0.4708311484006293,0.4,0.763,0.7611431567907708,0.3462244362873623
1823,Dickinson,KS,19516.0,49096.0,0.314,0.16399999999999998,0.23,0.789,0.125,0.002,0.033,0.221,0.067,R,0.49784791965566716,0.9366700715015321,0.7272727272727273,0.7541504406640706,0.45593359294937486
1824,Jefferson,IA,17318.0,42899.0,0.361,0.147,0.27699999999999997,0.74,0.053,0.001,0.128,0.146,0.064,R,0.5185933710590137,0.8690601900739175,0.7967967967967968,0.7010047349578473,0.44756900334911653
1825,Wayne,KY,20655.0,28573.0,0.233,0.18899999999999997,0.19399999999999998,0.8029999999999999,0.11599999999999999,0.006999999999999999,0.043,0.21899999999999997,0.126,R,0.4959573953038005,0.9484848484848486,0.7567567567567568,0.7757443718228032,0.3234567901234568
1826,Floyd,IA,16050.0,44797.0,0.32299999999999995,0.14800000000000002,0.225,0.787,0.09300000000000001,0.006999999999999999,0.055,0.207,0.035,R,0.4958255451713396,0.9521871820956256,0.8029999999999999,0.7601869158878505,0.4983177570093458
1827,Grainger,TN,22736.0,35391.0,0.24,0.139,0.222,0.828,0.122,0.003,0.035,0.327,0.095,R,0.4978008444757213,0.9626639757820384,0.765,0.7752463054187192,0.39320900774102746
1828,Cooper,MO,17593.0,44549.0,0.275,0.19399999999999998,0.264,0.826,0.106,0.001,0.035,0.225,0.057,R,0.5302108793270051,0.9163223140495869,0.7667667667667668,0.7741147047121014,0.4499516853293924
1829,Floyd,VA,15523.0,48005.0,0.297,0.139,0.223,0.774,0.121,0.0,0.07200000000000001,0.319,0.057,R,0.5017071442375829,0.9475806451612903,0.726,0.7871545448689042,0.4827675062810024
1830,Tyler,TX,21462.0,41360.0,0.237,0.23199999999999998,0.223,0.772,0.142,0.0,0.040999999999999995,0.336,0.115,R,0.5418413940918834,0.806910569105691,0.746,0.7891156462585034,0.33687447581772434
1831,Jay,IN,21255.0,41021.0,0.221,0.141,0.184,0.8320000000000001,0.087,0.003,0.032,0.20199999999999999,0.08199999999999999,R,0.4913196894848271,0.959758551307847,0.809,0.7317337097153611,0.44671841919548344
1832,Richland,WI,17746.0,44810.0,0.26,0.175,0.204,0.812,0.079,0.003,0.061,0.242,0.048,R,0.5041136030654796,0.9655870445344129,0.784,0.7657500281753634,0.4695142567339119
1833,McIntosh,OK,20280.0,36011.0,0.28600000000000003,0.185,0.218,0.848,0.081,0.008,0.04,0.261,0.10800000000000001,R,0.49373767258382645,0.765625,0.742,0.7916666666666666,0.34240631163708085
1834,Appomattox,VA,15208.0,48823.0,0.309,0.174,0.228,0.8079999999999999,0.095,0.005,0.051,0.309,0.066,R,0.4850736454497633,0.7786802030456853,0.763,0.7775512887953708,0.42951078379800106
1835,Gem,ID,16731.0,40828.0,0.308,0.192,0.256,0.742,0.126,0.005,0.1,0.272,0.142,R,0.5014643476181938,0.8974619289340102,0.672,0.7526149064610603,0.34600442292749983
1836,Davison,SD,19787.0,49991.0,0.353,0.196,0.204,0.821,0.083,0.003,0.043,0.138,0.033,R,0.5034113306716531,0.9390243902439025,0.7982017982017982,0.7552433415879113,0.5235255470763632
1837,Del Norte,CA,27788.0,40847.0,0.33899999999999997,0.315,0.188,0.748,0.129,0.006,0.059000000000000004,0.141,0.115,R,0.5548438174751691,0.685064935064935,0.5694305694305694,0.7585288613790125,0.3099179501943285
1838,Rabun,GA,16266.0,35211.0,0.314,0.209,0.213,0.7709999999999999,0.135,0.013000000000000001,0.046,0.21,0.073,R,0.49065535472765276,0.8876404494382024,0.7197197197197197,0.7693348088036395,0.38337636788392965
1839,Mitchell,NC,15330.0,37391.0,0.289,0.19,0.21,0.848,0.11199999999999999,0.0,0.022000000000000002,0.24,0.086,R,0.4900195694716243,0.9376257545271629,0.7340000000000001,0.7981735159817351,0.39230267449445533
1840,Ashland,WI,15993.0,39381.0,0.3,0.22,0.212,0.755,0.09699999999999999,0.005,0.047,0.18100000000000002,0.079,D,0.49996873632214095,0.8638253638253639,0.7559999999999999,0.7707747139373476,0.4673919839929969
1841,Sevier,UT,20871.0,46291.0,0.262,0.182,0.244,0.794,0.11699999999999999,0.008,0.044000000000000004,0.165,0.059000000000000004,R,0.5086004503857027,0.9285714285714285,0.7190000000000001,0.6791720569210866,0.40482008528580327
